56,2020-09-12 12:55:35.603225
56,2020-09-12 12:55:52.928951
56,2020-09-12 12:56:18.387233
57,2020-09-12 14:35:34.574521
58,2020-09-12 14:35:36.329459
59,2020-09-12 14:35:37.773701
60,2020-09-12 14:35:39.476794
61,2020-09-12 14:35:40.362422
62,2020-09-12 14:35:42.012032
63,2020-09-12 14:35:43.707206
64,2020-09-12 14:35:45.351157
65,2020-09-12 14:36:04.527827
66,2020-09-12 14:36:06.507165
67,2020-09-12 14:36:08.414018
68,2020-09-12 14:36:10.270141
69,2020-09-12 14:36:11.868715
70,2020-09-12 14:36:13.713655
